ID	Language	Gloss	GlossID	IDS_ID	Ortho	IPA	CogID
25	German	the mountain or hill	557	1.22	Berg	bɛrk	1669
26	German	the mountain or hill	557	1.22	Hügel	hyːɡəl	1671
27	French	the mountain or hill	557	1.22	montagne	mɔ̃taɲ	1670
28	French	the mountain or hill	557	1.22	colline	kɔlin	1672
29	Dutch	the mountain or hill	557	1.22	berg	bɛrx	1669
30	Dutch	the mountain or hill	557	1.22	heuvel	høːvəl	1671
31	English	the mountain or hill	557	1.22	mountain	maʊntɪn	-1670
32	English	the mountain or hill	557	1.22	hill	hɪl	1671
70	German	calm	608	1.322	Meeresstille	meːrəs#ʃtɪlə	1835
71	French	calm	608	1.322	étale	etale	1837
72	Dutch	calm	608	1.322	kalm	kɑlm	1836
73	Dutch	calm	608	1.322	rustig	rʉstəx	1838
74	English	calm	608	1.322	calm	kɑːm	1836
157	German	the stone or rock	138	1.44	Stein	ʃtain	423
158	German	the stone or rock	138	1.44	Fels	fɛls	426
159	French	the stone or rock	138	1.44	pierre	pjɛʀ	424
160	French	the stone or rock	138	1.44	roc	ʀɔk	425
161	French	the stone or rock	138	1.44	rocher	ʀɔʃe	425
162	Dutch	the stone or rock	138	1.44	rots	rɔʦ	-425
163	Dutch	the stone or rock	138	1.44	steen	steːn	423
164	English	the stone or rock	138	1.44	stone	stəʊn	423
165	English	the stone or rock	138	1.44	rock	rɔk	-425
170	German	the sky	679	1.51	Himmel	hɪməl	2051
171	French	the sky	679	1.51	ciel	sjɛl	2053
172	Dutch	the sky	679	1.51	hemel	heːməl	2051
173	English	the sky	679	1.51	sky	skaɪ	2052
240	German	the snow	251	1.76	Schnee	ʃneː	756
241	French	the snow	251	1.76	neige	nɛʒ	756
242	Dutch	the snow	251	1.76	sneeuw	sneːw	756
243	English	the snow	251	1.76	snow	snəʊ	756
244	German	the weather	256	1.78	Wetter	vɛtər	768
245	French	the weather	256	1.78	temps	tɑ̃	769
246	Dutch	the weather	256	1.78	weer	weːr	768
247	English	the weather	256	1.78	weather	wɛðər	768
248	German	the fire	402	1.81	Feuer	fɔyər	1211
